INTERSECT,Period,Time,EB_L,EB_Th,EB_R,WB_L,WB_Th,WB_R,NB_L,NB_Th,NB_R,SB_L,SB_Th,SB_R,Delay_s_veh,LOS,Max_green_EBL,Max_green_EBT,Max_green_WBL,Max_green_WBT,Max_green_NBL,Max_green_NBT,Max_green_SBL,Max_green_SBT,Yellow_duration,Min_green_EBL,Min_green_EBT,Min_green_WBL,Min_green_WBT,Min_green_NBL,Min_green_NBT,Min_green_SBL,Min_green_SBT,Ped_clearence_EW,Ped_clearence_NS,Receive_lanes_EB,Receive_lanes_WB,Receive_lanes_NB,Receive_lanes_SB,Num_lanes_EB,Num_lanes_WB,Num_lanes_NB,Num_lanes_SB,Year,Timestamp,drop_reason
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_EBL
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_EBL
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_EBL
Archer Road and 13th St,AM peak,0730–0745,118,33,7,15,57,6,18,143,7,6,217,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,AM peak,0745–0800,140,25,5,16,53,6,20,171,9,7,236,14,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,AM peak,0800–0815,131,20,4,13,48,5,19,168,9,5,227,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,AM peak,0815–0830,106,20,4,9,43,5,18,127,7,4,190,11,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,Off-peak,1200–1215,112,12,3,6,21,2,14,136,6,4,184,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,Off-peak,1215–1230,107,31,6,6,26,3,14,107,6,8,176,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,Off-peak,1230–1245,108,31,6,8,29,3,13,114,6,5,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,Off-peak,1245–1300,108,31,6,7,30,3,14,112,6,9,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,PM peak,1630–1645,150,67,13,10,23,3,13,146,6,7,285,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,PM peak,1645–1700,139,61,12,10,30,3,10,113,9,9,263,18,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,PM peak,1700–1715,144,69,14,12,24,3,13,139,8,11,260,22,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,PM peak,1715–1730,142,73,15,14,28,3,14,122,7,8,247,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_EBL
Archer Road and 13th St,AM peak,0730–0745,118,33,7,15,57,6,18,143,7,6,217,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,AM peak,0745–0800,140,25,5,16,53,6,20,171,9,7,236,14,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,AM peak,0800–0815,131,20,4,13,48,5,19,168,9,5,227,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,AM peak,0815–0830,106,20,4,9,43,5,18,127,7,4,190,11,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,Off-peak,1200–1215,112,12,3,6,21,2,14,136,6,4,184,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,Off-peak,1215–1230,107,31,6,6,26,3,14,107,6,8,176,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,Off-peak,1230–1245,108,31,6,8,29,3,13,114,6,5,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,Off-peak,1245–1300,108,31,6,7,30,3,14,112,6,9,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,PM peak,1630–1645,150,67,13,10,23,3,13,146,6,7,285,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,PM peak,1645–1700,139,61,12,10,30,3,10,113,9,9,263,18,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,PM peak,1700–1715,144,69,14,12,24,3,13,139,8,11,260,22,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
Archer Road and 13th St,PM peak,1715–1730,142,73,15,14,28,3,14,122,7,8,247,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_WBL
W Univ and Gale Lemerand,AM peak,0730–0745,0,178,58,42,187,0,13,0,15,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,AM peak,0745–0800,0,176,41,40,193,0,12,0,18,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,AM peak,0800–0815,0,175,45,34,160,0,13,0,19,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,AM peak,0815–0830,0,188,40,40,163,0,18,0,17,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,Off-peak,1200–1215,0,173,16,29,173,0,22,0,14,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_NBL
W Univ and Gale Lemerand,AM peak,0730–0745,0,178,58,42,187,0,13,0,15,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,AM peak,0745–0800,0,176,41,40,193,0,12,0,18,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,AM peak,0800–0815,0,175,45,34,160,0,13,0,19,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,AM peak,0815–0830,0,188,40,40,163,0,18,0,17,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,Off-peak,1200–1215,0,173,16,29,173,0,22,0,14,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBL
Archer Road and 13th St,AM peak,0730–0745,118,33,7,15,57,6,18,143,7,6,217,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,AM peak,0745–0800,140,25,5,16,53,6,20,171,9,7,236,14,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,AM peak,0800–0815,131,20,4,13,48,5,19,168,9,5,227,13,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,AM peak,0815–0830,106,20,4,9,43,5,18,127,7,4,190,11,38.9,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,Off-peak,1200–1215,112,12,3,6,21,2,14,136,6,4,184,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,Off-peak,1215–1230,107,31,6,6,26,3,14,107,6,8,176,12,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,Off-peak,1230–1245,108,31,6,8,29,3,13,114,6,5,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,Off-peak,1245–1300,108,31,6,7,30,3,14,112,6,9,203,14,29.8,C,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,PM peak,1630–1645,150,67,13,10,23,3,13,146,6,7,285,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,PM peak,1645–1700,139,61,12,10,30,3,10,113,9,9,263,18,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,PM peak,1700–1715,144,69,14,12,24,3,13,139,8,11,260,22,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
Archer Road and 13th St,PM peak,1715–1730,142,73,15,14,28,3,14,122,7,8,247,20,35.7,D,,60,,30,20.0,60,,60.0,4.0,,6,,6,6.0,6,,6.0,33,28,1,1,2.0,2.0,3,2,2,3.0,2014,,Missing Min_green_SBL
W Univ and Gale Lemerand,AM peak,0730–0745,0,178,58,42,187,0,13,0,15,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,AM peak,0745–0800,0,176,41,40,193,0,12,0,18,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,AM peak,0800–0815,0,175,45,34,160,0,13,0,19,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,AM peak,0815–0830,0,188,40,40,163,0,18,0,17,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,Off-peak,1200–1215,0,173,16,29,173,0,22,0,14,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Min_green_SBT
W Univ and Gale Lemerand,AM peak,0730–0745,0,178,58,42,187,0,13,0,15,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,AM peak,0745–0800,0,176,41,40,193,0,12,0,18,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,AM peak,0800–0815,0,175,45,34,160,0,13,0,19,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,AM peak,0815–0830,0,188,40,40,163,0,18,0,17,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,Off-peak,1200–1215,0,173,16,29,173,0,22,0,14,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_NB
W Univ and Gale Lemerand,AM peak,0730–0745,0,178,58,42,187,0,13,0,15,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,AM peak,0745–0800,0,176,41,40,193,0,12,0,18,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,AM peak,0800–0815,0,175,45,34,160,0,13,0,19,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,AM peak,0815–0830,0,188,40,40,163,0,18,0,17,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,Off-peak,1200–1215,0,173,16,29,173,0,22,0,14,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,PM peak,1700–1715,0,205,21,26,214,0,40,0,32,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,PM peak,1715–1730,0,221,19,27,267,0,40,0,33,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Receive_lanes_SB
W Univ and Gale Lemerand,AM peak,0730–0745,0,178,58,42,187,0,13,0,15,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,AM peak,0745–0800,0,176,41,40,193,0,12,0,18,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,AM peak,0800–0815,0,175,45,34,160,0,13,0,19,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,AM peak,0815–0830,0,188,40,40,163,0,18,0,17,0,0,0,13.6,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,Off-peak,1200–1215,0,173,16,29,173,0,22,0,14,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,Off-peak,1215–1230,0,180,20,28,171,0,27,0,16,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,Off-peak,1230–1245,0,188,24,30,177,0,32,0,20,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,Off-peak,1245–1300,0,179,21,27,189,0,29,0,21,0,0,0,13.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,PM peak,1630–1645,0,198,22,25,209,0,39,0,35,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
W Univ and Gale Lemerand,PM peak,1645–1700,0,223,24,23,204,0,41,0,28,0,0,0,14.3,B,,45,25.0,65,,35,,,3.7,,12,5.0,12,,4,,,18,21,2,2,,,3,3,2,,2014,,Missing Num_lanes_SB
